"Format","AIM CSV File"
"Venue","COMPETITION"
"Vehicle","Rhode Warrior"
"User","IDK"
"Data Source","AIM Data Logger"
"Comment","Isaku's ENDURO!!!"
"Date","05/13/17"
"Time","11:08:08"
"Sample Rate","100"
"Duration","76.233"
"Segment","Lap 2 - 1:16.233"

"Time","Distance","BPS_Rear","BPS_Front","Longitudinal_a","Lateral_acc","Vertical_acc","Calculated_Gea","Datalogger_Tem","Battery","PE3_RPM","PE3_TPS","PE3_FUEL_TIME","PE3_IGN_ANG","PE3_BARO","PE3_MAP","PE3_LAMBDA","PE3_ANA_IN1","PE3_ANA_IN2","PE3_ANA_IN3","PE3_ANA_IN4","PE3_ANA_IN5","PE3_ANA_IN6","PE3_ANA_IN7","PE3_ANA_IN8","PE3_FREQ1","PE3_FREQ2","PE3_FREQ3","PE3_FREQ4","PE3_BATTVOLT","PE3_IAT","PE3_ECT","PE3_THERMIST1","PE3_THERMIST2","GPS_Speed","GPS_Nsat","GPS_LatAcc","GPS_LonAcc","GPS_Slope","GPS_Heading","GPS_Gyro","GPS_Altitude","GPS_PosAccuracy","GPS_MPH","SPS","Oil Pressure_Cal","WSRPM","Speed_WS","AIM_Slip_Factor","Average_Driven","Slip Ratio","GPS_Latitude","GPS_Longitude","GPS_Elevation",
"Time","Distance","BPS_Rear","BPS_Front","Longitudinal_a","Lateral_acc","Vertical_acc","Calculated_Gea","Datalogger_Tem","Battery","PE3_RPM","PE3_TPS","PE3_FUEL_TIME","PE3_IGN_ANG","PE3_BARO","PE3_MAP","PE3_LAMBDA","PE3_ANA_IN1","PE3_ANA_IN2","PE3_ANA_IN3","PE3_ANA_IN4","PE3_ANA_IN5","PE3_ANA_IN6","PE3_ANA_IN7","PE3_ANA_IN8","PE3_FREQ1","PE3_FREQ2","PE3_FREQ3","PE3_FREQ4","PE3_BATTVOLT","PE3_IAT","PE3_ECT","PE3_THERMIST1","PE3_THERMIST2","GPS_Speed","GPS_Nsat","GPS_LatAcc","GPS_LonAcc","GPS_Slope","GPS_Heading","GPS_Gyro","GPS_Altitude","GPS_PosAccuracy","GPS_MPH","SPS","Oil Pressure_Cal","WSRPM","Speed_WS","AIM_Slip_Factor","Average_Driven","Slip Ratio","GPS_Latitude","GPS_Longitude","GPS_Elevation",
"sec","km","psi","psi","g","g","g","#","°F","V","rpm","%","ms","deg","mbar","mbar","lambda","V","V","V","V","V","V","V","V","Hz","Hz","Hz","Hz","V","°F","°F","°F","°F","mph","#","g","g","deg","deg","deg/s","m","m","Unit","Unit","psi","Unit","","","Unit","%","°","°","cm",
"","","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52",

0.000,0.000,-7.997024,-50.416210,1.902721,2.123473,-2.500484,3.000000,124.582939,13.244128,5885.399902,26.170000,4.013000,40.240002,969.000000,917.500000,0.507000,0.015900,0.009000,0.009000,0.009000,0.009000,0.039000,1.803250,0.042000,114.150002,114.300003,109.349998,107.449997,13.149500,91.580002,188.779999,68.000000,68.000000,23.512686,11.000000,0.066282,0.263501,-1.851880,-94.220779,3.107400,292.950012,1.050500,14.601378,1.393198,49.121880,0.019392,21.441336,0.000000,114.224998,7.838736,42.068623602070,-84.237045814028,293.11
0.010,0.000,-11.353937,-50.416210,1.676650,2.221773,-2.501477,3.000000,124.582939,13.244349,5926.200195,25.510000,3.999000,40.520000,969.000000,914.500000,0.507000,0.015700,0.009000,0.009000,0.009000,0.009000,0.039000,1.815750,0.042000,114.449997,114.900002,110.050003,108.349998,13.148499,91.580002,188.779999,68.000000,68.000000,23.562395,11.000000,0.054810,0.251328,-1.843286,-94.274635,2.582571,292.850006,1.051500,14.632248,1.393198,49.590630,0.019300,21.599575,0.000000,114.675003,8.158595,42.068623729284,-84.237047083803,293.10
0.020,0.001,-10.133242,-51.636906,1.603206,2.337283,-2.244700,3.000000,124.582939,13.244568,5967.000000,24.850000,3.985000,40.800003,969.000000,911.500000,0.507000,0.015500,0.009000,0.009000,0.009000,0.009000,0.039000,1.828250,0.042000,114.750000,115.500000,110.750000,109.250000,13.147500,91.580002,188.779999,68.000000,68.000000,23.612106,11.000000,0.043338,0.239155,-1.834692,-94.328491,2.057741,292.750000,1.052500,14.663117,1.393198,50.059380,0.019209,21.757813,0.000000,115.125000,8.478454,42.068623856497,-84.237048353578,293.08
0.030,0.001,-5.250458,-50.721382,1.682931,2.320543,-1.662085,3.000000,124.582939,13.244787,6007.799805,24.190001,3.971000,41.080002,969.000000,908.500000,0.507000,0.015300,0.009000,0.009000,0.009000,0.009000,0.039000,1.840750,0.042000,115.050003,116.099998,111.449997,110.150002,13.146500,91.580002,188.779999,68.000000,68.000000,23.661816,11.000000,0.031866,0.226983,-1.826097,-94.382355,1.532912,292.649994,1.053500,14.693988,1.393198,50.528130,0.019118,21.916052,0.000000,115.574997,8.798312,42.068623983711,-84.237049623353,293.07
0.040,0.001,-2.198718,-47.974815,1.865528,2.183397,-1.266160,3.000000,124.582939,13.245008,6048.600098,23.530001,3.957000,41.360001,969.000000,905.500000,0.507000,0.015100,0.009000,0.009000,0.009000,0.009000,0.039000,1.853250,0.042000,115.349998,116.699997,112.150002,111.050003,13.145499,91.580002,188.779999,68.000000,68.000000,23.711525,11.000000,0.020394,0.214810,-1.817503,-94.436211,1.008083,292.549988,1.054500,14.724857,1.393198,50.996880,0.019026,22.074291,0.000000,116.025002,9.118171,42.068624110924,-84.237050893128,293.05
0.050,0.002,-0.672848,-47.974815,2.121980,2.045682,-1.485047,3.000000,124.582939,13.245227,6101.799805,22.890001,3.933000,41.779999,969.000000,902.400024,0.507000,0.014900,0.009000,0.009000,0.009000,0.009000,0.039000,1.865750,0.042000,115.650002,117.300003,112.849998,111.949997,13.144500,91.580002,188.779999,68.000000,68.000000,23.761236,11.000000,0.008923,0.202637,-1.808909,-94.490067,0.483253,292.450012,1.055500,14.755727,1.393198,51.465630,0.018935,22.232529,0.000000,116.474998,9.438029,42.068624238988,-84.237052175007,293.04
0.060,0.002,-0.367674,-48.890335,2.369610,1.939537,-2.057104,3.000000,124.582939,13.245447,6167.399902,22.270000,3.899000,42.340000,969.000000,899.200012,0.507000,0.014700,0.009000,0.009000,0.009000,0.009000,0.039000,1.878250,0.042000,115.949997,117.900002,113.550003,112.849998,13.143499,91.580002,188.779999,68.000000,68.000000,23.810946,11.000000,-0.002549,0.190464,-1.800314,-94.543922,-0.041576,292.350006,1.056500,14.786596,1.393198,51.934380,0.018844,22.390768,0.000000,116.925003,9.757888,42.068624368326,-84.237053475043,293.03
0.070,0.002,-2.198718,-48.585163,2.471483,1.860947,-2.538209,3.000000,124.582939,13.245667,6233.000000,21.650002,3.865000,42.900002,969.000000,896.000000,0.507000,0.014500,0.009000,0.009000,0.009000,0.009000,0.039000,1.890750,0.042000,116.250000,118.500000,114.250000,113.750000,13.142500,91.580002,188.779999,68.000000,68.000000,23.860655,11.000000,-0.014021,0.178291,-1.791720,-94.597786,-0.566405,292.250000,1.057500,14.817467,1.393198,52.403130,0.018753,22.549007,0.000000,117.375000,10.077746,42.068624497664,-84.237054775079,293.01
0.080,0.003,-4.029761,-49.805862,2.332815,1.916451,-2.822145,3.000000,124.582939,13.245886,6298.600098,21.030001,3.831000,43.459999,969.000000,892.799988,0.507000,0.014300,0.009000,0.009000,0.009000,0.009000,0.039000,1.903250,0.042000,116.550003,119.099998,114.949997,114.650002,13.141500,91.580002,188.779999,68.000000,68.000000,23.910366,11.000000,-0.025493,0.166118,-1.783125,-94.651642,-1.091235,292.149994,1.058500,14.848336,1.393198,52.871880,0.018661,22.707245,0.000000,117.824997,10.397605,42.068624627003,-84.237056075114,293.00
0.090,0.003,-3.114240,-51.026558,2.035877,2.141517,-2.790854,3.000000,124.582939,13.246106,6364.200195,20.410000,3.797000,44.020000,969.000000,889.599976,0.507000,0.014100,0.009000,0.009000,0.009000,0.009000,0.039000,1.915750,0.042000,116.849998,119.699997,115.650002,115.550003,13.140499,91.580002,188.779999,68.000000,68.000000,23.960075,11.000000,-0.036965,0.153945,-1.774531,-94.705498,-1.616064,292.049988,1.059500,14.879206,1.393198,53.340630,0.018570,22.865484,0.000000,118.275002,10.717463,42.068624756341,-84.237057375150,292.99
