"Format","AIM CSV File"
"Venue","COMPETITION"
"Vehicle","Rhode Warrior"
"User","PEM"
"Data Source","AIM Data Logger"
"Comment","Phil's ENDURO!!!"
"Date","05/13/17"
"Time","10:59:39"
"Sample Rate","100"
"Duration","75.927"
"Segment","Lap 3 - 1:15.927"

"Time","Distance","BPS_Rear","BPS_Front","Longitudinal_a","Lateral_acc","Vertical_acc","Calculated_Gea","Datalogger_Tem","Battery","PE3_RPM","PE3_TPS","PE3_FUEL_TIME","PE3_IGN_ANG","PE3_BARO","PE3_MAP","PE3_LAMBDA","PE3_ANA_IN1","PE3_ANA_IN2","PE3_ANA_IN3","PE3_ANA_IN4","PE3_ANA_IN5","PE3_ANA_IN6","PE3_ANA_IN7","PE3_ANA_IN8","PE3_FREQ1","PE3_FREQ2","PE3_FREQ3","PE3_FREQ4","PE3_BATTVOLT","PE3_IAT","PE3_ECT","PE3_THERMIST1","PE3_THERMIST2","GPS_Speed","GPS_Nsat","GPS_LatAcc","GPS_LonAcc","GPS_Slope","GPS_Heading","GPS_Gyro","GPS_Altitude","GPS_PosAccuracy","Max_Speed_WS","GPS_MPH","SPS","Oil Pressure_Cal","Speed_WS","AIM_Slip_Factor","Slip Ratio","Average_Driven","WSRPM","GPS_Latitude","GPS_Longitude","GPS_Elevation",
"Time","Distance","BPS_Rear","BPS_Front","Longitudinal_a","Lateral_acc","Vertical_acc","Calculated_Gea","Datalogger_Tem","Battery","PE3_RPM","PE3_TPS","PE3_FUEL_TIME","PE3_IGN_ANG","PE3_BARO","PE3_MAP","PE3_LAMBDA","PE3_ANA_IN1","PE3_ANA_IN2","PE3_ANA_IN3","PE3_ANA_IN4","PE3_ANA_IN5","PE3_ANA_IN6","PE3_ANA_IN7","PE3_ANA_IN8","PE3_FREQ1","PE3_FREQ2","PE3_FREQ3","PE3_FREQ4","PE3_BATTVOLT","PE3_IAT","PE3_ECT","PE3_THERMIST1","PE3_THERMIST2","GPS_Speed","GPS_Nsat","GPS_LatAcc","GPS_LonAcc","GPS_Slope","GPS_Heading","GPS_Gyro","GPS_Altitude","GPS_PosAccuracy","Max_Speed_WS","GPS_MPH","SPS","Oil Pressure_Cal","Speed_WS","AIM_Slip_Factor","Slip Ratio","Average_Driven","WSRPM","GPS_Latitude","GPS_Longitude","GPS_Elevation",
"sec","km","psi","psi","g","g","g","#","°F","V","rpm","%","ms","deg","mbar","mbar","lambda","V","V","V","V","V","V","V","V","Hz","Hz","Hz","Hz","V","°F","°F","°F","°F","mph","#","g","g","deg","deg","deg/s","m","m","","Unit","Unit","psi","","","%","Unit","Unit","°","°","cm",
"","","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53",

0.000,0.000,-3.236309,-40.955814,2.643499,1.274829,-1.974177,4.000000,130.076096,13.296791,4821.259766,16.900000,3.630000,31.258001,856.000000,909.419983,0.508000,0.043000,0.009000,0.009000,0.009000,0.009000,0.043000,1.434830,0.042000,112.790001,111.930000,96.489998,98.839996,13.200000,82.580002,183.379990,68.000000,68.000000,21.833120,11.000000,-0.510145,0.255356,-1.006596,-64.674034,-27.294888,291.000000,1.440000,231.815643,13.558368,1.393198,35.306126,19.317970,0.000000,10.226177,112.360001,0.023309,42.068618114962,-84.237022610073,291.34
0.010,0.000,-5.433562,-44.190659,2.522197,1.468313,-1.940445,4.000000,130.076096,13.296737,4831.259766,16.893999,3.630000,31.336000,856.000000,908.880005,0.508000,0.043000,0.009000,0.009000,0.009000,0.009000,0.043000,1.437570,0.042000,114.320000,112.029999,96.870003,98.389999,13.200000,82.580002,183.379990,68.000000,68.000000,21.889044,11.000000,-0.508182,0.256433,-1.007856,-65.001541,-27.078768,291.000000,1.440000,231.732574,13.593097,1.393198,35.408875,19.311047,0.000000,10.079444,113.175003,0.023448,42.068618545296,-84.237023637534,291.34
0.020,0.001,-0.672848,-46.204807,2.345533,1.662428,-1.913108,4.000000,130.076096,13.296681,4845.459961,16.874001,3.630000,31.456001,856.000000,908.479980,0.508000,0.043000,0.009000,0.009000,0.009000,0.009000,0.043000,1.439470,0.042000,118.720001,112.129997,99.769997,99.690002,13.200000,82.580002,183.379990,68.000000,68.000000,21.944967,11.000000,-0.506843,0.257198,-1.006710,-65.325836,-26.893129,291.000000,1.440000,236.717087,13.627825,1.393198,35.480125,19.726423,0.000000,9.774339,115.425003,0.023920,42.068618975630,-84.237024664995,291.34
0.030,0.001,-1.283196,-46.937225,2.386885,1.687965,-1.800544,4.000000,130.076096,13.296627,4859.660156,16.854000,3.630000,31.576000,856.000000,908.080017,0.508000,0.043000,0.009000,0.009000,0.009000,0.009000,0.043000,1.441370,0.042000,123.120003,112.230003,102.669998,100.989998,13.200000,82.580002,183.379990,68.000000,68.000000,22.000891,11.000000,-0.505505,0.257963,-1.005564,-65.650124,-26.707491,291.000000,1.440000,241.701599,13.662553,1.393198,35.551376,20.141800,0.000000,9.469233,117.675003,0.024392,42.068619396336,-84.237025711396,291.34
0.040,0.001,-6.593223,-50.904488,2.569972,1.577942,-1.738937,4.000000,130.076096,13.296572,4873.859863,16.834002,3.630000,31.696001,856.000000,907.679993,0.508000,0.043000,0.009000,0.009000,0.009000,0.009000,0.043000,1.443270,0.042000,127.519997,112.330002,105.570000,102.290001,13.200000,82.580002,183.379990,68.000000,68.000000,22.056814,11.000000,-0.504167,0.258728,-1.004418,-65.974419,-26.521852,291.000000,1.440000,246.686127,13.697282,1.393198,35.622627,20.557177,0.000000,9.164127,119.925003,0.024864,42.068619794577,-84.237026801989,291.34
0.050,0.002,-3.114239,-48.463093,2.663693,1.475705,-1.835702,4.000000,130.076096,13.296516,4888.060059,16.814001,3.630000,31.816000,856.000000,907.280029,0.508000,0.043000,0.009000,0.009000,0.009000,0.009000,0.043000,1.445170,0.042000,131.919998,112.430000,108.470001,103.589996,13.200000,82.580002,183.379990,68.000000,68.000000,22.112738,11.000000,-0.502828,0.259492,-1.003273,-66.298714,-26.336214,291.000000,1.440000,251.670639,13.732010,1.393198,35.693878,20.972553,0.000000,8.859021,122.175003,0.025336,42.068620192818,-84.237027892582,291.34
0.060,0.002,-2.992170,-48.951374,2.622822,1.451059,-1.981812,4.000000,130.076096,13.296462,4893.140137,16.806002,3.630000,31.858000,856.000000,907.119995,0.508000,0.043000,0.009000,0.009000,0.009000,0.009000,0.043000,1.447070,0.042000,136.320007,112.529999,111.370003,104.889999,13.200000,82.580002,183.379990,68.000000,68.000000,22.168661,11.000000,-0.501490,0.260257,-1.002127,-66.623009,-26.150576,291.000000,1.440000,256.655151,13.766739,1.393198,35.765125,21.387930,0.000000,8.553916,124.425003,0.025808,42.068620591059,-84.237028983175,291.33
0.070,0.002,-7.142537,-52.979671,2.608478,1.476155,-2.023830,4.000000,130.076096,13.296407,4876.939941,16.826000,3.630000,31.718000,856.000000,907.520020,0.508000,0.043000,0.009000,0.009000,0.009000,0.009000,0.043000,1.448970,0.042000,140.720001,112.629997,114.269997,106.190002,13.200000,82.580002,183.379990,68.000000,68.000000,22.224585,11.000000,-0.500152,0.261022,-1.000981,-66.947304,-25.964937,291.000000,1.440000,261.639679,13.801467,1.393198,35.836376,21.803305,0.000000,8.248811,126.675003,0.026280,42.068620989300,-84.237030073768,291.33
0.080,0.003,-5.677701,-50.049999,2.713663,1.521503,-1.963241,4.000000,130.076096,13.296352,4860.740234,16.846001,3.630000,31.578001,856.000000,907.919983,0.508000,0.043000,0.009000,0.009000,0.009000,0.009000,0.043000,1.450870,0.042000,145.119995,112.730003,117.169998,107.489998,13.200000,82.580002,183.379990,68.000000,68.000000,22.280508,11.000000,-0.498813,0.261787,-0.999835,-67.271591,-25.779299,291.000000,1.440000,266.624207,13.836195,1.393198,35.907627,22.218681,0.000000,7.943705,128.925003,0.026752,42.068621387541,-84.237031164361,291.33
0.090,0.003,-3.968727,-47.730675,2.790675,1.573140,-1.951225,4.000000,130.076096,13.296297,4844.540039,16.865999,3.630000,31.438000,856.000000,908.320007,0.508000,0.043000,0.009000,0.009000,0.009000,0.009000,0.043000,1.452770,0.042000,149.520004,112.830002,120.070000,108.790001,13.200000,82.580002,183.379990,68.000000,68.000000,22.336432,11.000000,-0.497475,0.262552,-0.998689,-67.595886,-25.593660,291.000000,1.440000,271.608704,13.870924,1.393198,35.978878,22.634058,0.000000,7.638599,131.175003,0.027223,42.068621785782,-84.237032254955,291.33
